Date,Close
1/2/2020 16:00:00,49.1
1/3/2020 16:00:00,48.6
1/6/2020 16:00:00,48.39
1/7/2020 16:00:00,48.25
1/8/2020 16:00:00,47.83
1/9/2020 16:00:00,48.97
1/10/2020 16:00:00,48.17
1/13/2020 16:00:00,48.75
1/14/2020 16:00:00,48.21
1/15/2020 16:00:00,48.55
1/16/2020 16:00:00,49.77
1/17/2020 16:00:00,50.93
1/21/2020 16:00:00,51.05
1/22/2020 16:00:00,51.43
1/23/2020 16:00:00,51.71
1/24/2020 16:00:00,50.35
1/27/2020 16:00:00,49.26
1/28/2020 16:00:00,50.53
1/29/2020 16:00:00,47.51
1/30/2020 16:00:00,48.78
1/31/2020 16:00:00,47
2/3/2020 16:00:00,48.02
2/4/2020 16:00:00,49.45
2/5/2020 16:00:00,49.84
2/6/2020 16:00:00,49.32
2/7/2020 16:00:00,49.73
2/10/2020 16:00:00,52.26
2/11/2020 16:00:00,53.8
2/12/2020 16:00:00,53.89
2/13/2020 16:00:00,54.53
2/14/2020 16:00:00,55.31
2/18/2020 16:00:00,56.89
2/19/2020 16:00:00,58.9
2/20/2020 16:00:00,57.27
2/21/2020 16:00:00,53.28
2/24/2020 16:00:00,49.12
2/25/2020 16:00:00,47.57
2/26/2020 16:00:00,47.49
2/27/2020 16:00:00,44.01
2/28/2020 16:00:00,45.48
3/2/2020 16:00:00,47.46
3/3/2020 16:00:00,46.75
3/4/2020 16:00:00,50.11
3/5/2020 16:00:00,48.11
3/6/2020 16:00:00,48.59
3/9/2020 16:00:00,43.27
3/10/2020 16:00:00,45.38
3/11/2020 16:00:00,45.7
3/12/2020 16:00:00,39.01
3/13/2020 16:00:00,43.9
3/16/2020 16:00:00,38.71
3/17/2020 16:00:00,41.88
3/18/2020 16:00:00,39.12
3/19/2020 16:00:00,39.82
3/20/2020 16:00:00,39.61
3/23/2020 16:00:00,41.64
3/24/2020 16:00:00,46.22
3/25/2020 16:00:00,44.63
3/26/2020 16:00:00,47.5
3/27/2020 16:00:00,46.58
3/30/2020 16:00:00,47.86
3/31/2020 16:00:00,45.48
4/1/2020 16:00:00,43.66
4/2/2020 16:00:00,44.49
4/3/2020 16:00:00,42.59
4/6/2020 16:00:00,47.52
4/7/2020 16:00:00,47.56
4/8/2020 16:00:00,48.79
4/9/2020 16:00:00,48.38
4/13/2020 16:00:00,50.94
4/14/2020 16:00:00,54.93
4/15/2020 16:00:00,54.99
4/16/2020 16:00:00,56.95
4/17/2020 16:00:00,56.6
4/20/2020 16:00:00,56.97
4/21/2020 16:00:00,52.92
4/22/2020 16:00:00,55.92
4/23/2020 16:00:00,55.9
4/24/2020 16:00:00,56.18
4/27/2020 16:00:00,56.49
4/28/2020 16:00:00,55.51
4/29/2020 16:00:00,53.66
4/30/2020 16:00:00,52.39
5/1/2020 16:00:00,49.88
5/4/2020 16:00:00,52.56
5/5/2020 16:00:00,52.19
5/6/2020 16:00:00,52.16
5/7/2020 16:00:00,51.95
5/8/2020 16:00:00,53.19
5/11/2020 16:00:00,55.74
5/12/2020 16:00:00,53.76
5/13/2020 16:00:00,52.18
5/14/2020 16:00:00,54.51
5/15/2020 16:00:00,54.2
5/18/2020 16:00:00,54.59
5/19/2020 16:00:00,55.47
5/20/2020 16:00:00,56.39
5/21/2020 16:00:00,54.65
5/22/2020 16:00:00,55.17
5/26/2020 16:00:00,53.19
5/27/2020 16:00:00,52.74
5/28/2020 16:00:00,51.74
5/29/2020 16:00:00,53.8
6/1/2020 16:00:00,53.63
6/2/2020 16:00:00,53.54
6/3/2020 16:00:00,52.73
6/4/2020 16:00:00,52.63
6/5/2020 16:00:00,53.1
6/8/2020 16:00:00,52.97
6/9/2020 16:00:00,56.39
6/10/2020 16:00:00,57.44
6/11/2020 16:00:00,52.83
6/12/2020 16:00:00,53.5
6/15/2020 16:00:00,54.68
6/16/2020 16:00:00,54.46
6/17/2020 16:00:00,54.55
6/18/2020 16:00:00,54.04
6/19/2020 16:00:00,54.23
6/22/2020 16:00:00,54.76
6/23/2020 16:00:00,53.99
6/24/2020 16:00:00,52.39
6/25/2020 16:00:00,51.93
6/26/2020 16:00:00,50.1
6/29/2020 16:00:00,50.28
6/30/2020 16:00:00,52.61
7/1/2020 16:00:00,52.58
7/2/2020 16:00:00,52.34
7/6/2020 16:00:00,53.4
7/7/2020 16:00:00,52.93
7/8/2020 16:00:00,53.43
7/9/2020 16:00:00,57.26
7/10/2020 16:00:00,55.88
7/13/2020 16:00:00,53.59
7/14/2020 16:00:00,54.72
7/15/2020 16:00:00,55.34
7/16/2020 16:00:00,54.92
